id,title
69,exploring mouse movements for inferring query intent
70,non compositional language model and pattern dictionary development for japanese compound and complex sentences
71,a hybrid system for quantifier scoping
72,complex queries over web repositories
73,database snapshots
74,multi paragraph segmentation of expository text
75,issues in evaluation of stream learning algorithms
76,mace language support for building distributed systems
77,computable processes
78,weighted association rule mining from binary and fuzzy data
79,a unified approach to global program optimization
80,fast webpage classification using url features
81,a representation for robot plans
82,experience from applying rim to educational erp development
83,early specification of user interfaces toward a formal approach
84,what it means for a concurrent program to satisfy a specification why no one has specified priority
85,mathematical semantics and data flow programming
86,reducing labeling effort for structured prediction tasks
87,characterizing and assessing a large scale software maintenance organization
88,event detection from time series data
89,an adaptive model of decision making in planning
90,bsr a statistic based approach for establishing and refining software process performance baseline
91,a discriminative model for tree to tree translation
92,datr theories and datr models
93,teg a hybrid approach to information extraction
94,a visual sensor model for mobile robot localisation
95,supervised dimensionality reduction using mixture models
96,a classification algorithm for supporting object oriented views
97,anonymizing healthcare data a case study on the blood transfusion service
98,a compiler framework for speculative analysis and optimizations
99,levels of exploration
100,revision sequences and nested conditionals
101,aligning sentences in parallel corpora
102,global optimizations for parallelism and locality on scalable parallel machines
103,multi dimensional sequential pattern mining
104,independent on line monitoring of evolving systems
105,visual classification an interactive approach to decision tree construction
106,choices in practical data design
107,declustering databases on heterogeneous disk systems
108,knowledge engineering tools at the architecture level
109,a multiplatformmultilanguage clientserver project
110,a combined component approach for finding collection adapted ranking functions based on genetic programming
111,a general language model for information retrieval
112,a hierarchical method for multi class support vector machines
113,distributing and porting general linguistic tools
114,island parsing and bidirectional charts
115,when is temporal planning really temporal
116,electronic market the roadmap for university libraries and members to survive in the information jungle
117,addressing crosscutting deployment and configuration concerns of distributed real time and embedded systems via aspect oriented  model driven software development
118,mapdupreducer detecting near duplicates over massive datasets
119,macro by example deriving syntactic transformations from their specifications
120,extracting semi structured data through examples
121,finding surprising patterns in a time series database in linear time and space
122,information retrieval with commonsense knowledge
123,a technique for customizing object oriented knowledge representation systems with an application to network problem management
124,some experiments in applying inductive inference principles to surface reconstruction
125,using static analysis for ajax intrusion detection
126,independence assumptions considered harmful
127,a model for adaptable systems for transaction processing
128,resolving syntactic ambiguities with lexico semantic patterns an analogy based approach
129,a necessary condition for a doubly recursive rule to be equivalent to a linear recursive rule
130,cross task knowledge constrained self training
131,locating secret messages in images
132,on the effectiveness of optimization search strategies for parallel execution spaces
133,software architecture recovery of embedded software
134,outlines of a computer model of motivation
135,a formal approach to determining parallel resource bindings experience report
136,ellipsis resolution with underspecified scope
137,exploiting temporal information in retrieval of archived documents
138,acquiring the meaning of discourse markers
139,software architecture classification for estimating the cost of cots integration
140,dynamic file allocation in disk arrays
141,analysis of distributed data base processing strategies
142,how good is a span of terms exploiting proximity to improve web retrieval
143,qed a novel quaternary encoding to completely avoid re labeling in xml updates
144,evolutionary learning strategy using bug based search
145,fast shortest path distance estimation in large networks
146,efficient updates to independent schemes in the weak instance model
147,a real time garbage collector with low overhead and consistent utilization
148,an operational framework for value passing processes
149,tense aspect and cognitive representation of time
150,prototypes for medical case based applications
151,infosphere project system support for information flow applications
152,compressing term positions in web indexes
153,live visual relevance feedback for query formulation
154,the postroom computer teaching introductory undergraduate computer architecture
155,reading a set of disk pages
156,distributing semantic constraints between heterogeneous databases
157,the role of domain knowledge in data mining
158,prediction and management of program quality
159,a geometric approach to total envisioning
160,automated verification of practical garbage collectors
161,symbolic execution of the gist specification language
162,functional programming for freshman computer science majors
163,from animation to analysis in introductory computer science
164,complex and composite objects in cadcam databases
165,combining clustering and co training to enhance text classification using unlabelled data
166,exploring web scale language models for search query processing
167,cooperative caching by mobile clients in push based information systems
168,incremental translation utilizing constituent boundary patterns
169,information retrieval using a singular value decomposition model of latent semantic structure
170,optimizing parallel itineraries for knn query processing in wireless sensor networks
171,resource sharing in continuous sliding window aggregates
172,incremental reorganization of relational databases
173,introduction to the wellmade design methodology
174,computing first and follow functions for feature theoretic grammars
175,constructing lexical transducers
176,remembering to forget a competence preserving case deletion policy for case based reasoning systems
177,type checking type classes
178,programming as an evolutionary process
179,database partitioning in a cluster of processors
180,the t4sql temporal query language
181,optimally profiling and tracing programs
182,evaluating probabilistic queries over imprecise data
183,object allocation in distributed databases and mobile computers
184,shift reduce dependency dag parsing
185,bottom up filtering a parsing strategy for gpsg
186,arcube supporting ranking aggregate queries in partially materialized data cubes
187,db2 query parallelism staging and implementation
188,music performamatics interdisciplinary interaction
189,rationale reasoning by explaining
190,transliteration as constrained optimization
191,towards efficient automated singer identification in large music databases
192,agglomerating local patterns hierarchically with alpha
193,using appraisal groups for sentiment analysis
194,taj effective taint analysis of web applications
195,application of bitmap index to information retrieval
196,structures for manipulating proposed updates in object oriented databases
197,an active bilingual lexicon for machine translation
198,combining eye movements and collaborative filtering for proactive information retrieval
199,automatic online news topic ranking using media focus and user attention based on aging theory
200,object placement in parallel object oriented database systems
201,extended gloss overlaps as a measure of semantic relatedness
202,unifying data and domain knowledge using virtual views
203,semi supervised classification using sparse gaussian process regression
204,parallel randomized state space search
205,coarse indices for a tape based data warehouse
206,a new algorithm for scalar register promotion based on ssa form
207,web browsing performance of wireless thin client computing
208,query graphs implementing trees and freely reorderable outerjoins
209,multiclass core vector machine
210,development of a large concept oriented database for information retrieval
211,frame rules from answer types for code pointers
212,using navigation data to improve ir functions in the context of web search
213,exploiting informative priors for bayesian classification and regression trees
214,the aqua approach to querying lists and trees in object oriented databases
215,redescription mining structure theory and algorithms
216,a bayesian approach to protein model quality assessment
217,efficient skyline computation over low cardinality domains
218,freespan frequent pattern projected sequential pattern mining
219,scheduling and data replication to improve tape jukebox performance
220,phi   a logic based tool for intelligent help systems
221,combining link and content for community detection a discriminative approach
222,on indexing error tolerant set containment
223,a quantitative evaluation of linguistic tests for the automatic prediction of semantic markedness
224,document expansion for speech retrieval
225,automatically classifying benign and harmful data racesallusing replay analysis
226,functional constraints in knowledge based natural language understanding
227,query simplification graceful degradation for join order optimization
228,sim a database system based on the semantic data model
229,visualization and the process of modeling a cognitive theoretic view
230,dynamic finite versioning an effective versioning approach to concurrent transaction and query processing
231,the semantic matrix model smm a knowledge based solution to semantic homogeneity in multidatabases
232,computational complexity of planning with temporal goals
233,dantes an expert system for real time network troubleshooting
234,what is decreased by the max sum arc consistency algorithm
235,the rumors system of russian synthesis
236,efficient detection of all pointer and array access errors
237,arabic named entity recognition using optimized feature sets
238,structural ambiguity and lexical relations
239,agent human interactions in the continuous double auction
240,representing paraphrases using synchronous tags
241,engineering information systems implementation approaches and issues
242,probabilistic combination of text classifiers using reliability indicators models and results
243,the optimization strategy for query evaluation in rdbv1
244,automatic inline allocation of objects
245,polyhedral outer approximations with application to natural language parsing
246,sonet configuration management with openpm
247,integrating pedagogical code reviews into a cs 1 course an empirical study
248,the utility of feature construcuon for back propagation
249,using parsed corpora for structural disambiguation in the trains domain
250,agent based control for object manipulation with modular self reconfigurable robots
251,a top down approach for two level serializability
252,topological mapping through distributed passive sensors
253,a scheme for feature construction and a comparison of empirical methods
254,hypergraph spectral learning for multi label classification
255,modeling invariability of human judgments for text summarization
256,modeling the effect of chip failures on cache memory systems
257,on the economics of mass marketed software
258,a net structure for semantic information storage deduction and retrieval
259,on arabic search improving the retrieval effectiveness via a light stemming approach
260,an intuitive approach to normalize network structured data
261,array based evaluation of multi dimensional queries in object relational databases systems
262,grammatical inference as a principal component analysis problem
263,optimizing decision quality with contract algorithms
264,the equivalence problem for program schemata with nonintersecting loops
265,parsimonious concept modeling
266,eliminating false positives during corner finding by merging similar segments
267,performance engineering as a part of the development life cycle for large scale software systems
268,a large scale active learning system for topical categorization on the web
269,salsa computing the skyline without scanning the whole sky
270,partial evaluation as a means for inferencing data structures in an applicative language a theory and implementation in the case of prolog
271,making service learning accessible to computer scientists
272,query chains learning to rank from implicit feedback
273,on representing governed prepositions and handling incorrect and novel prepositions
274,a comparison of head transducers and transfer for a limited domain translation application
275,f logic a higher order language for reasoning about objects inheritance and scheme
276,knowledge mining by imprecise querying a classification based approach
277,a concept of derivation for lfg
278,a concurrency simulator designed for sophomore level instruction
279,comments on note on the expected size of a join
280,index access with a finite buffer
281,handling alternative activities in resource constrained project scheduling problems
282,denali a goal directed superoptimizer
283,large human communication networks patterns and a utility driven generator
284,improving the quality of uml models in practice
285,computer architecture and mental models
286,lexeme based morphology a computationaily expensive approach intended for a server architecture
287,scalable formal design methods for asynchronous vlsi
288,modeling lsh for performance tuning
289,from reading to retrieval freeform ink annotations as queries
290,splitting without backtracking
291,an evaluation framework for algebraic object oriented query models
292,predicting learnt clauses quality in modern sat solvers
293,on the uniformity of software evolution patterns
294,authoring multimedia documents using wysiwym editing
295,static and dynamic semantics processing
296,parallel grace hash join on shared everything multiprocessor implementation and performance evaluation on symmetry s81
297,two directional record layout for multiple inheritance
298,an experimental study of the impact of information extraction accuracy on semantic search performance
299,recursion in logics of programs
300,improve web search using image snippets
301,representing constraints with automata
302,evaluating the accuracy of an unlexicalized statistical parser on the parc depbank
303,zoomuserviews querying relevant provenance in workflow systems
304,stepwise nearest neighbor discriminant analysis
305,an agreement corrector for russian
306,foral lp design and implementation
307,overprvning large decision trees
308,reporting about industrial strength software engineering courses for undergraduates
309,network latency optimizations in distributed database systems
310,an expected cost analysis of backtracking and non backtracking algorithms
311,the well tempered semaphore theme with variations
312,implementing physical hyperlinks using ubiquitous identifier resolution
313,process programming by hindsight
314,stable strategies for sharing information among agents
315,an object oriented refactoring of huffman encoding using the java collections framework
316,efficiently answering reachability queries on very large directed graphs
317,knowledge based handling of design expertise
318,thematic mapping   from unstructured documents to taxonomies
319,technology transfer macro process a practical guide for the effective introduction of technology
320,the organizational and informational context of large business system integration projects
321,gess a scalable similarity join algorithm for mining large data sets in high dimensional spaces
322,automatic noun classification by using japanese english word pairs
323,reasoning about exceptions during plan execution monitoring
324,discovering strong skyline points in high dimensional spaces
325,automatic link detection a sequence labeling approach
326,great principles in computing curricula
327,maintenance of views
328,partial collection replication versus caching for information retrieval systems
329,planning for human robot interaction using time state aggregated pomdps
330,automatic generation of fast optimizing code generators
331,alternatives to two classic data structures
332,the need for distributed asynchronous transactions
333,the effects of word order and segmentation on translation retrieval performance
334,conflict driven load control for the avoidance of data contention thrashing
335,constraint propagation and value acquisition why we should do it interactively
336,can humanitarian open source software development draw new students to cs
337,translating topics to words for image annotation
338,capturing design dynamics the concord approach
339,consequence relations in drt
340,hybrid neuro and rule based part of speech taggers
341,xml conceptual modeling with xuml
342,on computing storing and querying frequent patterns
343,mapping wordnets using structural information
344,the mariposa distributed database management system
345,implementing high level active rules on top of a relational dbms
346,efficient region based image retrieval
347,using morphological and syntactic structures for chinese opinion analysis
348,handling frequent updates of moving objects
349,effective multi label active learning for text classification
350,language acquisition as learning
351,a template for real world team projects for highly populated software engineering classes
352,teaching inter object design patterns to freshmen
353,comparison of two component frameworks the fipa compliant multi agent system and the web centric j2ee platform
354,measuring credibility of users in an e learning environment
355,neural computing on a one dimensional simd array
356,unbundling active functionality
357,achieving both high precision and high recall in near duplicate detection
358,fuzzy induction in dynamic user profiling for information filtering
359,high dimensional visual vocabularies for image retrieval
360,requirements for a layered software architecture supporting cooperative multi user interaction
361,psst a web based system for tracking political statements
362,irlbot scaling to 6 billion pages and beyond
363,over encryption management of access control evolution on outsourced data
364,avatar semantic search a database approach to information retrieval
365,extracting schema from semistructured data
366,towards an enterprise xml architecture
367,typed feature structures as descriptions
368,strictness analysis and denotational abstract interpretation
369,inference rules for high order consistency in weighted csp
370,text segmentation based on similarity between words
371,practical pac learning
372,clinical and financial outcomes analysis with existing hospital patient records
373,disjoint interval topological sort a useful concept in serializability theory extended abstract
374,automatic detection of poor speech recognition at the dialogue level
375,teaching introductory java through lego mindstorms models
376,semi supervised learning of partial cognates using bilingual bootstrapping
377,automatic construction of polarity tagged corpus from html documents
378,exploiting value added content in an online course introducing programming concepts via html and javascript
379,a review of automated debugging systems knowledge strategies and techniques
380,a kernel path algorithm for support vector machines
381,an abuse free fair contract signing protocol based on the rsa signature
382,evolutionary document summarization for disaster management
383,online learning in monkeys
384,towards pattern based design recovery
385,teaching compiler construction using a domain specific language
386,a comparison of operating systems courseware
387,rest based management of loosely coupled services
388,on the impact of a collaborative pedagogy on african american millennial students in software engineering
389,complexity in classificatory reasoning
390,hyperbf networks for real object recognition
391,an object oriented software application architecture
392,processing optimality theoretic syntax by interleaved chart parsing and generation
393,an examination of the current state of ipse technology
394,learning bilingual collocations by word level sorting
395,scalable temporal reasoning
396,path sensitive value flow analysis
397,an explanation facility for a grammar writing system
398,privacy and security of data communications and data bases
399,users perception of the performance of a filtering system
400,anyone but him the complexity of precluding an alternative
401,toward the at a glance summary phrase representation summarization method
402,saiu an efficient cache replacement policy for wireless on demand broadcasts
403,detecting low usability web pages using quantitative data of users behavior
404,graphical xquery in the aqualogic data services platform
405,a functional approach to generation with tag
406,a synthetic english query language for a relational accociative processor
407,bayesian regression with input noise for high dimensional data
408,knowing a web page by the company it keeps
409,the semantics of program dependence
410,redundancy and information leakage in fine grained access control
411,automatic learning of domain model for personalized hypermedia applications
412,validity and power of t test for comparing map and gmap
413,exploiting web search engines to search structured databases
414,an implemented description of japanese the lexeed dictionary and the hinoki treebank
415,incremental maintenance of recursive views using relational calculussql
416,an axiomatic approach to personalized ranking systems
417,manifold integration with markov random walks
418,proving theorems about lisp functions
419,dynamic information visualization
420,integrating sentence  and word level error identification for disfluency correction
421,input generalization in delayed reinforcement learning an algorithm and performance comparisons
422,backjumping for quantified boolean logic satisfiability
423,effect of varying number of documents in blind feedback analysis of the 2003 nrrc ria workshop bfnumdocs experiment suite
424,the evolution of the programming languages course
425,mining positive and negative patterns for relevance feature discovery
426,safe and efficient sharing of persistent objects in thor
427,making bound consistency as effective as arc consistency
428,a simple and efficient sampling method for estimating ap and ndcg
429,position paper a comparison of two modelling paradigms in the semantic web
430,planning with graded fluents and actions
431,cmradar a personal assistant agent for calendar management
432,web derived pronunciations for spoken term detection
433,dirichlet pagerank
434,optimization of html automatically generated by wysiwyg programs
435,combining multiple evidence from different types of thesaurus for query expansion
436,machine learning of temporal relations
437,static typing for dynamic messages
438,finding informative commonalities in concept collections
439,data base management systems security and ingres
440,extending lambek grammars a logical account of minimalist grammars
441,interactive pushdown automata animation
442,discriminative parameter learning for bayesian networks
443,domain independent approaches for finding diverse plans
444,a comparison of lifecycle models
445,proving that non blocking algorithms dont block
446,automatic essay grading using text categorization techniques
447,author topic evolution analysis using three way non negative paratucker
448,call forwarding a simple interprocedural optimization technique for dynamically typed languages
449,an lr category neutral parser with left corner prediction
450,search result re ranking based on gap between search queries and social tags
451,set oriented mining for association rules in relational databases
452,pruning nested xquery queries
453,hypergraph partitioning for document clustering a unified clique perspective
454,gib steps toward an expert level bridge playing program
455,hidden understanding models of natural language
456,principar   an efficient broad coverage principle based parser
457,search on high degree graphs
458,computational thinking for the sciences a three day workshop for high school science teachers
459,temporally coarse representation of behavior for model based troubleshooting of digital circuits
460,coupling pair programming and writing learning about students perceptions and processes
461,forward search value iteration for pomdps
462,letting the cat out of the bag generation for shake and bake mt
463,relaxed currency and consistency how to say good enough in sql
464,deadlock detection is cheap
465,partial join order optimization in the paraccel analytic database
466,load management and high availability in the medusa distributed stream processing system
467,supporting speculative parallelization in the presence of dynamic data structures
468,implementation techniques for main memory database systems
469,effects of defects in uml models an experimental investigation
470,introducing actions into qualitative simulation
471,semantic database mapping in eufid
472,decoupling synchronization from local control for efficient symbolic model checking of statecharts
473,pay as you go an adaptive approach to provide full context aware text search over document content
474,expressiveness of xsds from practice to theory there and back again
475,consequence finding based on ordered linear resolution
476,a morphographemic model for error correction in nonconcatenative strings
477,learning belief networks from data an information theory based approach
478,should short relatively complex algorithms be taught using both graphical and verbal methods six replications
479,adapting materialized views after redefinitions
480,entity relationship diagrams and english an analysis of some problems encountered in a database design course
481,prediction and indexing of moving objects with unknown motion patterns
482,queries in object oriented databases
483,discovery net towards a grid of knowledge discovery
484,discovery of multi level rules and exceptions from a distributed database
485,positive supercompilation for a higher order call by value language
486,using web graph distance for relevance feedback in web search
487,bayesian multiple instance learning automatic feature selection and inductive transfer
488,kernelized value function approximation for reinforcement learning
489,planning as model checking for extended goals in non deterministic domains
490,stereo by two level dynamic programming
491,lexicon features for japanese syntactic analysis in mu project je
492,a dynamically adaptive distributed system for processing complex continuous queries
493,mining tag clouds and emoticons behind community feedback
494,maximum entropy based phrase reordering model for statistical machine translation
495,constraint satisfiability algorithms for interactive student scheduling
496,probabilistic term variant generator for biomedical terms
497,query optimization in a heterogeneous dbms
498,from the programmers apprentice to human robot interaction thirty years of research on human computer collaboration
499,global communication analysis and optimization
500,structuring
501,interoperable query processing with multiple heterogeneous knowledge servers
502,using fast weights to improve persistent contrastive divergence
503,encapsualtion and reuse as viewed by java students
504,clustering with local and global regularization
505,computerised information retrieval systems for open learning
506,magic functions a technique to optimize extended datalog recursive programs
507,an optimistic commit protocol for distributed transaction management
508,alpha an extension of relational algebra to express a class of recursive queries
509,improving adaptable similarity query processing by using approximations
510,fixed length semiorder preserving code for field level data file compression
511,stylistic text segmentation
512,improved query performance with variant indexes
513,picashow pictorial authority search by hyperlinks on the web
514,binary interpolation search for solution mapping on broadcast and on demand channels in a mobile computing environment
515,on distributed processibility of datalog queries by decomposing databases
516,language independent interactive data visualization
517,on search performance for conjunctive queries in compressed fully transposed ordered files
518,raising the baseline for high precision text classifiers
519,object oriented specification of databases an algebraic approach
520,w3qs   a system for www querying
521,survivability analysis of network systems
522,spatial searching in geometric databases
523,active exploration for learning rankings from clickthrough data
524,overview of the jasmin database machine
525,enabling intelligent content discovery on the mobile internet
526,representation dependence in probabilistic inference
527,ghost experimenting conflicts countermeasures in the pilots activity
528,towards automatic extraction of monolingual and bilingual terminology
529,task detection for activity based desktop search
530,comparison criteria for semantic data models
531,computing in context integrating an embedded computing project into a course on ethical and societal issues
532,enhancing contextual desktop search
533,semantic queries in databases problems and challenges
534,efficient implementation techniques for the time index
535,an extended memoryless inference control method accounting for dependence in table level controls
536,polyphony and argumentative semantics
537,using a meta model to represent object oriented data models
538,dynamic maintenance of web indexes using landmarks
539,logistic online learning methods and their application to incremental dependency parsing
540,table driven neural syntactic analysis of spoken korean
541,on bayesian bounds
542,a fast and simple method for extracting relevant content from news webpages
543,extending the knowledge compilation map krom horn affine and beyond
544,a tractability result for reasoning with incomplete first order knowledge bases
545,solving thematic divergences in machine translation
546,jim gray at ibm the transaction processing revolution
547,a universal measure of intelligence for artificial agents
548,static single assignment for explicitely parallel programs
549,the design of data type specifications
550,safe referential structures in relational databases
551,global value numbering using random interpretation
552,taxonomic reasoning
553,flexible provisioning of service workflows
554,an extended protocol for multiple issue concurrent negotiation
555,unsupervised morphological segmentation and clustering with document boundaries
556,relevance score normalization for metasearch
557,massively multi query join processing in publishsubscribe systems
558,referring to world objects with text and pictures
559,query execution assurance for outsourced databases
560,computing factored value functions for policies in structured mdps
561,from databases to dataspaces a new abstraction for information management
562,exploiting multiple secondary reinforcers in policy gradient reinforcement learning
563,a bio inspired approach for multi word expression extraction
564,using path information for query processing in object oriented database systems
565,context sensitive vocabulary mapping with a spreading activation network
566,generalized vector space model in information retrieval
567,parallel distributed belief networks that learn
568,bypass rates reducing query abandonment using negative inferences
569,animating operating systems algorithms with xtango
570,agile adaptive indexing for context aware information filters
571,experiences with a cs0 course targeted for cs1 success
572,steps towards cache resident transaction processing
573,taxonomic and uncertain integrity constraints in object oriented databases   the top approach
574,integrated program measurement and documentation tools
575,pre programming analysis tutors help students learn basic programming concepts
576,xmltm efficient transaction management for xml documents
577,conversationally relevant descriptions
578,pseudo relevance feedback using semantic clustering in relevance language model
579,relative efficiency of alpha beta implementations
580,dynamic faceted search for discovery driven analysis
581,handling data skew in parallel joins in shared nothing systems
582,active customization of gis user interfaces
583,a weakly supervised learning approach for spoken language understanding
584,using peer led team learning to increase participation and success of under represented groups in introductory computer science
585,on slicing programs with jump statements
586,a framework for incremental syntactic tree formation
587,matching stream patterns of various lengths and tolerances
588,markov decision processes for control of a sensor network based health monitoring system
589,data mining to detect abnormal behavior in aerospace data
590,from region inference to von neumann machines via region representation inference
591,data fusion with estimated weights
592,the problem of identification
593,exploiting parallel texts for word sense disambiguation an empirical study
594,quantminer a genetic algorithm for mining quantitative association rules
595,micmac a microprogram simulator for courses in computer organization
596,extracting constraint satisfaction subproblems
597,a comparison of flexible schemas for software as a service
598,adon an intelligent overlay video advertising system
599,selecting the right interestingness measure for association patterns
600,learning strategies for story comprehension a reinforcement learning approach
601,clause restructuring for statistical machine translation
602,theory and practice of ambiguity labelling with a view to interactive disambiguation in text and speech mt
603,construction of a blog emotion corpus for chinese emotional expression analysis
604,integrating traditional and agile processes in the classroom
605,multi winner elections complexity of manipulation control and winner determination
606,symbolic transfer function based approaches to certified compilation
607,locating data sources in large distributed systems
608,a probabilistic terminological logic for modelling information retrieval
609,designing laboratory modules for novices in an undergraduate ai course track artificial intelligence
610,the next decade of the database course three decades speak to the next
611,learning to improve both efficiency and quality of planning
612,arabic finite state morphological analysis and generation
613,zero pronouns as experiencer in japanese discourse
614,maintaining arc consistency using adaptive domain ordering
615,a knowledge structure for reusing abstract data types
616,out of context noun phrase semantic interpretation with cross linguistic evidence
617,rapid application prototyping the proquel language
618,entire regularization paths for graph data
619,patterns for programming in parallel pedagogically
620,on the covering of left recursive grammars
621,learning and inferring transportation routines
622,data models for secondary storage representations
623,massively parallel memory based parsing
624,automatic semantic sequence extraction from unrestricted non tagged texts
625,a proper extension of ml with an effective type assignment
626,copy on write in the php language
627,maintenance support tools for java programs ccfinder and jaat
628,design and performance tools for data base systems
629,spatial aggregation for qualitative assessment of scientific computations
630,right  left  and multi linear rule transformations that maintain context information
631,the echo method concurrency control method for a large scale distributed database
632,performance evaluation of a distributed architecture for information retrieval
633,inter item correlations among function points
634,anticipating the readers problems and the automatic generation of paraphrases
635,on the properties of extended inclusion dependencies
636,an information state approach to collaborative reference
637,adding numbers to text classification
638,real time classification of electromyographic signals for robotic control
639,temporal database system implementations
640,effective and efficient update of xml in rdbms
641,sqlxnf   processing composite objects as abstractions over relational data
642,russian doll search with tree decomposition
643,harmonic mixtures combining mixture models and graph based methods for inductive and scalable semi supervised learning
644,performance evaluation of extended storage architectures for transaction processing
645,a new scheme for reinforcing concepts in cs2
646,a co classification framework for detecting web spam and spammers in social media web sites
647,high diversity transforms multimedia information retrieval into a cross cutting field report on the 8th workshop on multimedia information retrieval
648,an implementation model for reasoning with complex objects
649,mining broad latent query aspects from search sessions
650,a hybrid approach to the automatic planning of textual structures
651,optimizing cursor movement in holistic twig joins
652,extracting relations with integrated information using kernel methods
653,a variational learning algorithm for the abstract hidden markov model
654,restructuring batch view maintenance efficiently
655,a prototype english japanese machine translation system for translating ibm computer manuals
656,event processing with an oracle database
657,disjunctive temporal planning with uncertainty
658,line labeling and junction labeling a coupled system for image interpretation
659,communication with directed logic variables
660,dado enhancing middleware to support crosscutting features in distributed heterogeneous systems
661,asymmetric boosting
662,self taught learning transfer learning from unlabeled data
663,maintaining coherency of dynamic data in cooperating repositories
664,a methodology for decomposing system requirements into data processing requirements
665,neptune a hypertext system for cad applications
666,model checking temporal logics of knowledge in distributed systems
667,netserf using semantic knowledge to find internet information archives
668,reliable transaction management in a multidatabase system
669,image processing as an exemplar of parallelism applied to graphics
670,security in outsourcing of association rule mining
671,a compression technique for large statistical data bases
672,medialife from images to a life chronicle
673,margin based feature selection   theory and algorithms
674,optimal derivations in weak lambda calculi and in orthogonal terms rewriting systems
675,inferring function semantics to optimize queries
676,sin integrating case based reasoning with task decomposition
677,design and implementation of generics for the net common language runtime
678,case base mining for adaptation knowledge acquisition
679,algovista an algorithmic search tool in an educational setting
680,a model for optimizing deductive and object oriented db requests
681,short term performance forecasting in enterprise systems
682,detecting phrase level duplication on the world wide web
683,pronominalization in generated discourse and dialogue
684,model management and schema mappings theory and practice
685,weaving cs into cs1 a doubly depth first approach
686,using syntactic information for improving why question answering
687,randomized variable elimination
688,learning document aboutness from implicit user feedback and document structure
